PAPOLA,FAM129B
GALNT2,CCDC155
GALNT2,MRPS5
VPS37C,SORBS2
VPS37C,PKNOX1
VPS37C,RFX6
VPS52,MAPK3
VPS52,WTAP
VPS52,THAP11
COX7A2,C9ORF72
SGSH,RRM1
SGSH,PPT1
CSTA,CTSL
CSTA,CTSB
CSTA,CDK2
CSTA,ZDHHC17
SREBF2,MAPK3
SREBF2,NFYA
SREBF2,ITGB4
SREBF2,SLC4A4
SREBF2,ATXN1
SREBF2,FHL3
SREBF2,MRPS6
SREBF2,ZDHHC17
SREBF2,SP1
GM2A,HEXA
PEX11B,PEX19
PEX11B,FIS1
BGN,NUDCD2
BGN,COL1A1
BGN,ELN
BGN,PCOLCE
BGN,TNF
BGN,COL4A2
MPP3,EZR
MPP3,SRPK2
MPP3,MCM2
MPP3,ARL2BP
MPP3,RAB31
MPP3,CRABP1
MPP3,NOA1
ATG13,MAP1LC3A
ATG13,C9ORF72
ASF1B,HCFC1
ASF1B,MRPS7
ASF1B,MCM2
ASF1B,HAT1
ASF1B,MCM6
ASF1B,RBBP7
MCMBP,MCM2
MCMBP,MCM4
MCMBP,MCM7
MCMBP,MCM6
MCMBP,MCM5
MCMBP,PRTFDC1
S100B,GFAP
S100B,ANXA6
S100B,S100A11
S100B,IMPA1
S100B,S100A1
EHD1,RBSN
EHD1,MICAL1
EHD1,FKBP9
EHD1,EPN1
CHD8,SOX2
CHD8,CHD7
CHD8,USF1
CHD8,CTCF
CHD8,ZNF143
CHD8,CTNNB1
UBQLN1,MAP1LC3A
UBQLN1,NGLY1
UBQLN1,DCTPP1
UBQLN1,FGF7
UBQLN1,MCM7
UBQLN1,PPIC
UBQLN1,CALU
UBQLN1,UBQLN4
UBQLN1,PBXIP1
UBQLN1,C9ORF72
UBQLN1,HK2
UBQLN1,SIL1
UBQLN1,TNFRSF1B
UBQLN1,P4HB
UBQLN1,SPARC
UBQLN1,FN1
MRPS2,GRSF1
NT5C2,MOB1B
NT5C2,FXR2
ACOT9,GRSF1
PPP6R2,MOB1B
PPP6R2,AIP
PPP6R2,ATXN1
SLC25A3,MRPL20
SLC25A3,LGR4
SLC25A3,TM9SF2
SLC25A3,TMED4
SLC25A3,C9ORF72
SLC25A3,TNFRSF1B
SLC25A3,CDK2
ANXA6,HPRT1
ANXA6,S100A1
ANXA6,PRKCA
TFDP1,RYBP
TFDP1,E2F1
TFDP1,RB1
TFDP1,E2F6
TFDP1,E2F4
TFDP1,CDK2
TFDP1,CDK1
TFDP1,E2F3
STT3A,DERL2
STT3A,ITM2C
PPT1,NIT2
PPT1,SLC9A3R2
TRAPPC6B,TRAPPC3
TRAPPC6B,TRAPPC2L
EFNB3,EPHB3
EFNB3,EPHA4
USP13,DIABLO
USP13,MRPL20
E2F4,RYBP
E2F4,TFDP2
E2F4,HCFC1
E2F4,E2F1
E2F4,FHL2
E2F4,RB1
PODXL,CDK2
PODXL,SLC9A3R2
COL17A1,ITGB4
COL17A1,PLEC
COL17A1,ACTN1
AMPH,SYNM
AMPH,REPS2
AMPH,SYNJ1
AMPH,PLD1
AMPH,CDK1
TTR,CTNND2
TTR,APOA1
TTR,CLU
TTR,PHYHIP
TTR,VIM
TTR,HSPG2
ABCD3,AGPS
ABCD3,MPV17
ABCD3,PEX19
ABCD3,PHYH
